raw_category_id,raw_name_en,raw_name_ar,parent_category_id,linked_product_count,normalized_name_en,method,group_id,proposed_canonical_slug,proposed_canonical_display_en,proposed_canonical_display_ar,confidence,needs_review,reviewer_decision,notes
21,Air Freshner,معطر الجو,,106,air freshner,singleton_unique,,air_freshner,Air Freshner,معطر الجو,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
22,Bleach & Disinfectant,المبيضات و المطهرات,,187,bleach & disinfectant,singleton_unique,,bleach_disinfectant,Bleach & Disinfectant,المبيضات و المطهرات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
23,Multi-Purpose Cleaning,منظفات متعددة الأغراض,,83,multi-purpose cleaning,singleton_unique,,multi_purpose_cleaning,Multi-Purpose Cleaning,منظفات متعددة الأغراض,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
24,Insect & Pest Control,مكافحة الحشرات,,35,insect & pest control,singleton_unique,,insect_pest_control,Insect & Pest Control,مكافحة الحشرات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
25,Dishwashing,منتجات غسيل الأطباق,,94,dishwashing,singleton_unique,,dishwashing,Dishwashing,منتجات غسيل الأطباق,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
26,Kitchen Roll,رول المطبخ,,190,kitchen roll,singleton_unique,,kitchen_roll,Kitchen Roll,رول المطبخ,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
27,DownTown Special Offers ,DownTown Special Offers ,,73,downtown special offers,singleton_unique,,downtown_special_offers,DownTown Special Offers ,DownTown Special Offers ,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
28,Toilet Cleaning,منظفات التواليت,,62,toilet cleaning,singleton_unique,,toilet_cleaning,Toilet Cleaning,منظفات التواليت,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
29,Milk,الألبان,,124,milk,singleton_unique,,milk,Milk,الألبان,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
30,"Cheese, Dairy & Eggs","الجبن,منتجات الألبان والبيض",,1080,"cheese, dairy & eggs",singleton_unique,,cheese_dairy_eggs,"Cheese, Dairy & Eggs","الجبن,منتجات الألبان والبيض",100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
31,Full Cream Milk,لبن كامل الدسم,,42,full cream milk,singleton_unique,,full_cream_milk,Full Cream Milk,لبن كامل الدسم,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
32,Rayeb,رايب,,20,rayeb,singleton_unique,,rayeb,Rayeb,رايب,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
33,Rayeb Milk,Rayeb Milk,,20,rayeb milk,singleton_unique,,rayeb_milk,Rayeb Milk,Rayeb Milk,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
34,Coffee,القهوة,,259,coffee,singleton_unique,,coffee,Coffee,القهوة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
35,Beverages,المشروبات,,1166,beverages,singleton_unique,,beverages,Beverages,المشروبات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
36,Juices,العصائر,,240,juices,singleton_unique,,juices,Juices,العصائر,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
37,Iftar Ramadan,لمة الفطار,,71,iftar ramadan,singleton_unique,,iftar_ramadan,Iftar Ramadan,لمة الفطار,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
38,Ramdan Juices ,عصائر رمضان,,240,ramdan juices,singleton_unique,,ramdan_juices,Ramdan Juices ,عصائر رمضان,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
39,Skimmed Milk,لبن منزوع الدسم,,23,skimmed milk,singleton_unique,,skimmed_milk,Skimmed Milk,لبن منزوع الدسم,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
40,Half Cream Milk,لبن نصف دسم,,4,half cream milk,singleton_unique,,half_cream_milk,Half Cream Milk,لبن نصف دسم,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
41,Flavored Milk ,لبن بنكهات,,17,flavored milk,singleton_unique,,flavored_milk,Flavored Milk ,لبن بنكهات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
42,Speciality Milk,البان خاصة,,36,speciality milk,singleton_unique,,speciality_milk,Speciality Milk,البان خاصة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
43,Vegan Milk,لبن نباتي,,13,vegan milk,singleton_unique,,vegan_milk,Vegan Milk,لبن نباتي,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
44,Healthy & Specialty,منتجات صحية  ومتخصصة,,126,healthy & specialty,singleton_unique,,healthy_specialty,Healthy & Specialty,منتجات صحية  ومتخصصة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
45,Yogurt,منتجات الزبادي,,180,yogurt,exact_auto_merge,g2,yogurt,Yogurt,منتجات الزبادي,100.0,False,,
46,Plain Yogurt,زبادي سادة,,49,plain yogurt,singleton_unique,,plain_yogurt,Plain Yogurt,زبادي سادة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
47,Suhoor Ramadan,سحور رمضان,,1228,suhoor ramadan,singleton_unique,,suhoor_ramadan,Suhoor Ramadan,سحور رمضان,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
48,Yogurt,زبادي,,177,yogurt,exact_auto_merge,g2,yogurt,Yogurt,منتجات الزبادي,100.0,False,,
49,Flavored Yogurt,زبادي بالنكهات,,46,flavored yogurt,singleton_unique,,flavored_yogurt,Flavored Yogurt,زبادي بالنكهات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
50,Greek Yogurt,زبادي يوناني,,31,greek yogurt,singleton_unique,,greek_yogurt,Greek Yogurt,زبادي يوناني,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
51,Eggs,البيض,,54,eggs,exact_auto_merge,g3,eggs,Eggs,البيض,100.0,False,,
52,Eggs,بيض,,41,eggs,exact_auto_merge,g3,eggs,Eggs,البيض,100.0,False,,
53,Cheese,الأجبان,,520,cheese,exact_auto_merge,g4,cheese,Cheese,الأجبان,100.0,False,,
54,Cheese,Cheese,,520,cheese,exact_auto_merge,g4,cheese,Cheese,الأجبان,100.0,False,,
55,Branded Cheese,الأجبان المعلبة,,152,branded cheese,singleton_unique,,branded_cheese,Branded Cheese,الأجبان المعلبة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
56,Sliced Cheese,شرائح الجبن,,25,sliced cheese,singleton_unique,,sliced_cheese,Sliced Cheese,شرائح الجبن,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
57,Cream & Spread Cheese,كريمة & الجبن المفرود,,52,cream & spread cheese,singleton_unique,,cream_spread_cheese,Cream & Spread Cheese,كريمة & الجبن المفرود,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
58,Default Category,Default Category,,183,default category,singleton_unique,,default_category,Default Category,Default Category,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
59,Online Deals,عروض أونلاين,,96,online deals,singleton_unique,,online_deals,Online Deals,عروض أونلاين,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1715,Food Storage,تخزيين الطعام,,143,food storage,singleton_unique,,food_storage,Food Storage,تخزيين الطعام,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1716,Tableware,أدوات المائدة,,355,tableware,singleton_unique,,tableware,Tableware,أدوات المائدة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1717,Party,أدوات الحفلات,,102,party,singleton_unique,,party,Party,أدوات الحفلات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1718,Toys,الألعاب,,182,toys,singleton_unique,,toys,Toys,الألعاب,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1719,Baby Care,منتجات العناية بالأطفال,,134,baby care,singleton_unique,,baby_care,Baby Care,منتجات العناية بالأطفال,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1720,Baby Products,منتجات الأطفال,,295,baby products,singleton_unique,,baby_products,Baby Products,منتجات الأطفال,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1721,Baby Food,طعام الأطفال,,62,baby food,singleton_unique,,baby_food,Baby Food,طعام الأطفال,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1722,Beauty & Personal Care, الجمال والعناية الشخصية,,3241,beauty & personal care,singleton_unique,,beauty_personal_care,Beauty & Personal Care, الجمال والعناية الشخصية,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1723,Diapers,حفاضات الأطفال,,120,diapers,singleton_unique,,diapers,Diapers,حفاضات الأطفال,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1724,Bakery & Bread,العيش والمخبوزات,,291,bakery & bread,singleton_unique,,bakery_bread,Bakery & Bread,العيش والمخبوزات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1725,Fresh Bakeries,مخبوزات,,128,fresh bakeries,singleton_unique,,fresh_bakeries,Fresh Bakeries,مخبوزات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1726,Sweets,الحلويات,,96,sweets,singleton_unique,,sweets,Sweets,الحلويات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1727,Bread,العيش,,86,bread,exact_auto_merge,g5,bread,Bread,العيش,100.0,False,,
1728,Ramadan Dessert,حلويات رمضان,,13,ramadan dessert,singleton_unique,,ramadan_dessert,Ramadan Dessert,حلويات رمضان,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1729,Marina Offers ,Marina Offers ,,16,marina offers,singleton_unique,,marina_offers,Marina Offers ,Marina Offers ,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1730,GSA Offers,GSA Offers,,35,gsa offers,singleton_unique,,gsa_offers,GSA Offers,GSA Offers,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1731,Soft Drinks,المشروبات الغازية,,225,soft drinks,singleton_unique,,soft_drinks,Soft Drinks,المشروبات الغازية,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1732,Water,المياه,,63,water,singleton_unique,,water,Water,المياه,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1733,Coca Cola Drinks,Coca Cola Drinks,,44,coca cola drinks,singleton_unique,,coca_cola_drinks,Coca Cola Drinks,Coca Cola Drinks,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1734,Test,Test,,247,test,junk_excluded,,,,,,True,approve,
1735,Nestlé Waters,Nestlé Waters,,10,nestlé waters,singleton_unique,,nestl_waters,Nestlé Waters,Nestlé Waters,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1736, Sugar Free,خالي من السكر,,46,sugar free,singleton_unique,,sugar_free, Sugar Free,خالي من السكر,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1737,"Candy , Gum",الحلوي و العلكة,,270,"candy , gum",singleton_unique,,candy_gum,"Candy , Gum",الحلوي و العلكة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1738,one day offers,عروض اليوم الواحد,,74,one day offers,singleton_unique,,one_day_offers,one day offers,عروض اليوم الواحد,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1739,"Breakfast , Nuts & Seeds","الفطار , المكسرات و الحبوب",,192,"breakfast , nuts & seeds",singleton_unique,,breakfast_nuts_seeds,"Breakfast , Nuts & Seeds","الفطار , المكسرات و الحبوب",100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1740,Grocery,منتجات البقالة,,3504,grocery,exact_auto_merge,g1,grocery,Grocery,منتجات البقالة,100.0,False,,
1741,"Tissues, Wipes & Rolls",منتجات ورقية وبلاستيكية,,103,"tissues, wipes & rolls",singleton_unique,,tissues_wipes_rolls,"Tissues, Wipes & Rolls",منتجات ورقية وبلاستيكية,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1742,Tissues & Wipes ,مناديل الوجه,,147,tissues & wipes,singleton_unique,,tissues_wipes,Tissues & Wipes ,مناديل الوجه,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1743,Toilet Rolls,رول تواليت,,39,toilet rolls,singleton_unique,,toilet_rolls,Toilet Rolls,رول تواليت,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1744,Garbage Bags,أكياس القمامة,,69,garbage bags,singleton_unique,,garbage_bags,Garbage Bags,أكياس القمامة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1745,Men's Shaving,Men's Shaving,,114,men's shaving,singleton_unique,,men_s_shaving,Men's Shaving,Men's Shaving,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1746,Men`s Care,منتجات العناية للرجال,,183,men`s care,singleton_unique,,men_s_care,Men`s Care,منتجات العناية للرجال,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1747,"Shower , Bath & Soap",الصابون والاستحمام وغسيل الجسم,,850,"shower , bath & soap",singleton_unique,,shower_bath_soap,"Shower , Bath & Soap",الصابون والاستحمام وغسيل الجسم,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1748,Hair Care,العناية بالشعر,,1007,hair care,exact_auto_merge,g6,hair_care,Hair Care,العناية بالشعر,100.0,False,,
1749,Deodorants,مزيل العرق,,625,deodorants,singleton_unique,,deodorants,Deodorants,مزيل العرق,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1750,Fresh Cheese,الجبن الطازج,,194,fresh cheese,exact_auto_merge,g7,fresh_cheese,Fresh Cheese,الجبن الطازج,100.0,False,,
1751,cheese - fresh,الجبن الطازج,,177,cheese - fresh,singleton_unique,,cheese_fresh,cheese - fresh,الجبن الطازج,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1752,White Cheese,جبنة بيضاء,,54,white cheese,singleton_unique,,white_cheese,White Cheese,جبنة بيضاء,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1753,Fresh Cheese ,Fresh Cheese ,,182,fresh cheese,exact_auto_merge,g7,fresh_cheese,Fresh Cheese,الجبن الطازج,100.0,False,,
1754,Cold Cuts & Deli,اللحوم الباردة,,176,cold cuts & deli,singleton_unique,,cold_cuts_deli,Cold Cuts & Deli,اللحوم الباردة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1755,Deli,Deli,,6,deli,exact_auto_merge,g8,deli,Deli,Deli,100.0,False,,
1756,Deli & Cheese Deals,جبن ولحوم باردة,,116,deli & cheese deals,singleton_unique,,deli_cheese_deals,Deli & Cheese Deals,جبن ولحوم باردة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1757,Olives & Pickles,الزيتون و المخللات,,176,olives & pickles,singleton_unique,,olives_pickles,Olives & Pickles,الزيتون و المخللات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1758,fresh pickles,مخللات,,59,fresh pickles,fuzzy_candidate,g19,fresh_pickles,fresh pickles,مخللات,88.0,True,reject,no parent-category signal available (parent_category_id NULL for all rows)
1759,Deli Offers ,Deli Offers ,,5,deli offers,singleton_unique,,deli_offers,Deli Offers ,Deli Offers ,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1760,Imported cheese,جبن مستوردة,,32,imported cheese,singleton_unique,,imported_cheese,Imported cheese,جبن مستوردة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1761,Fresh Halawa,حلاوة فريش,,5,fresh halawa,singleton_unique,,fresh_halawa,Fresh Halawa,حلاوة فريش,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1762,Top sales Deli,Top sales Deli,,9,top sales deli,singleton_unique,,top_sales_deli,Top sales Deli,Top sales Deli,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1763,Romy cheese,جبنة رومي,,8,romy cheese,singleton_unique,,romy_cheese,Romy cheese,جبنة رومي,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1764,Processed Cheese,جبن مطبوخ,,27,processed cheese,singleton_unique,,processed_cheese,Processed Cheese,جبن مطبوخ,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1765,Deli,Deli,,3,deli,exact_auto_merge,g8,deli,Deli,Deli,100.0,False,,
1766,Deli,Deli,,10,deli,exact_auto_merge,g8,deli,Deli,Deli,100.0,False,,
1767,Mozzarella ,جبن المبشور والموزاريلا,,5,mozzarella,singleton_unique,,mozzarella,Mozzarella ,جبن المبشور والموزاريلا,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1768,Seafood & Fish,المأكولات البحرية و السمك,,165,seafood & fish,singleton_unique,,seafood_fish,Seafood & Fish,المأكولات البحرية و السمك,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1769,Seafood,أسماك,,4,seafood,exact_auto_merge,g9,seafood,Seafood,أسماك,100.0,False,,
1770,Meat,اللحوم,,56,meat,exact_auto_merge,g10,meat,Meat,اللحوم,100.0,False,,
1771,Meat & Poultry,لحوم ودواجن,,138,meat & poultry,exact_auto_merge,g11,meat_poultry,Meat & Poultry,لحوم ودواجن,100.0,False,,
1772,Meats & Poultrys,اللحوم والدواجن,,82,meats & poultrys,singleton_unique,,meats_poultrys,Meats & Poultrys,اللحوم والدواجن,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1773,Meats,اللحوم,,49,meats,singleton_unique,,meats,Meats,اللحوم,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1774,Top sales fresh food,Top sales fresh food,,14,top sales fresh food,singleton_unique,,top_sales_fresh_food,Top sales fresh food,Top sales fresh food,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1775,Meat,لحوم,,18,meat,exact_auto_merge,g10,meat,Meat,اللحوم,100.0,False,,
1776,Eid al Adha,مستلزمات عيد الأضحى,,18,eid al adha,singleton_unique,,eid_al_adha,Eid al Adha,مستلزمات عيد الأضحى,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
1777,Meat,Meat,,4,meat,exact_auto_merge,g10,meat,Meat,اللحوم,100.0,False,,
1778,Fresh Offers,Fresh Offers,,4,fresh offers,singleton_unique,,fresh_offers,Fresh Offers,Fresh Offers,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3274,Pulse & Grains,البقوليات,,109,pulse & grains,singleton_unique,,pulse_grains,Pulse & Grains,البقوليات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3275,"Herbs , Spices & Breadcrumbs",أعشاب وتوابل,,356,"herbs , spices & breadcrumbs",singleton_unique,,herbs_spices_breadcrumbs,"Herbs , Spices & Breadcrumbs",أعشاب وتوابل,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3276,Fresh spices,توابل,,54,fresh spices,fuzzy_candidate,g19,fresh_pickles,fresh pickles,مخللات,88.0,True,reject,no parent-category signal available (parent_category_id NULL for all rows)
3277,Seafood,Seafood,,1,seafood,exact_auto_merge,g9,seafood,Seafood,أسماك,100.0,False,,
3278,Poultry & Chicken ,الدجاج,,72,poultry & chicken,singleton_unique,,poultry_chicken,Poultry & Chicken ,الدجاج,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3279,Meat,Meat,,3,meat,exact_auto_merge,g10,meat,Meat,اللحوم,100.0,False,,
3280,Frozen Chicken,دجاج مجمد,,320,frozen chicken,singleton_unique,,frozen_chicken,Frozen Chicken,دجاج مجمد,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3281,Frozen Food,الأطعمة المجمدة,,870,frozen food,singleton_unique,,frozen_food,Frozen Food,الأطعمة المجمدة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3282,chilled,فراخ مبردة,,30,chilled,singleton_unique,,chilled,chilled,فراخ مبردة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3283,Fruits,الفواكه,,343,fruits,singleton_unique,,fruits,Fruits,الفواكه,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3284,Fruits & Vegetables,الخضروات و الفاكهة,,853,fruits & vegetables,singleton_unique,,fruits_vegetables,Fruits & Vegetables,الخضروات و الفاكهة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3285,Butter,الزبدة,,18,butter,exact_auto_merge,g12,butter,Butter,الزبدة,100.0,False,,
3286,Vegetables,خضراوات,,548,vegetables,singleton_unique,,vegetables,Vegetables,خضراوات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3287,Dates,تمر,,80,dates,exact_auto_merge,g13,dates,Dates,تمر,100.0,False,,
3288,Dates,بلح,,55,dates,exact_auto_merge,g13,dates,Dates,تمر,100.0,False,,
3289,Small Home Electronics,أجهزة منزلية صغيرة,,345,small home electronics,singleton_unique,,small_home_electronics,Small Home Electronics,أجهزة منزلية صغيرة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3290,Kettles & Coffee Makers,غلايات المياة & ماكينات القهوة,,59,kettles & coffee makers,singleton_unique,,kettles_coffee_makers,Kettles & Coffee Makers,غلايات المياة & ماكينات القهوة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3291,Electronics, الأجهزة المنزلية,,999,electronics,exact_auto_merge,g14,electronics,Electronics, الأجهزة المنزلية,100.0,False,,
3292,Shavers,ماكينات الحلاقة,,50,shavers,singleton_unique,,shavers,Shavers,ماكينات الحلاقة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3293,Personal Care,منتجات العناية الشخصية,,55,personal care,singleton_unique,,personal_care,Personal Care,منتجات العناية الشخصية,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3294,Vacuum Cleaners,المكانس,,26,vacuum cleaners,singleton_unique,,vacuum_cleaners,Vacuum Cleaners,المكانس,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3295,Blenders & Food Preparation,أجهزة تحضير الطعام,,141,blenders & food preparation,singleton_unique,,blenders_food_preparation,Blenders & Food Preparation,أجهزة تحضير الطعام,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3296,Irons,المكواه,,35,irons,singleton_unique,,irons,Irons,المكواه,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3297,Water Heaters,سخانات مياة,,34,water heaters,singleton_unique,,water_heaters,Water Heaters,سخانات مياة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3298,Ventilating Fans,شفاطات,,26,ventilating fans,singleton_unique,,ventilating_fans,Ventilating Fans,شفاطات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3299,Fans,مراوح,,56,fans,singleton_unique,,fans,Fans,مراوح,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3300,Cookers & Cooker hoods,بوتجازات,,59,cookers & cooker hoods,singleton_unique,,cookers_cooker_hoods,Cookers & Cooker hoods,بوتجازات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3301,Large Home Electronics,أجهزة منزلية كبيرة,,129,large home electronics,singleton_unique,,large_home_electronics,Large Home Electronics,أجهزة منزلية كبيرة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3302,Microwaves,ميكروويف,,34,microwaves,singleton_unique,,microwaves,Microwaves,ميكروويف,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3303,Washing Machines & Dryers,غسالات الملابس & مجفف,,77,washing machines & dryers,singleton_unique,,washing_machines_dryers,Washing Machines & Dryers,غسالات الملابس & مجفف,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3304,TV & Receivers,تلفزيونات وريسفيرات,,79,tv & receivers,singleton_unique,,tv_receivers,TV & Receivers,تلفزيونات وريسفيرات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3305,TVs,التلفزيونات,,98,tvs,singleton_unique,,tvs,TVs,التلفزيونات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3306,Electronics Offers,أجهزة منزلية,,18,electronics offers,singleton_unique,,electronics_offers,Electronics Offers,أجهزة منزلية,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3307,Ovens,أفران,,14,ovens,singleton_unique,,ovens,Ovens,أفران,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
